review,categories
It is quite nice feature to boot from Bootcamp disk without rebooting from it. From Mac OS you can see anything in it.,4
Easy to set up!,6
"I've been a user of Parallels since v3.x and can't express enough how important Parallels has been for me.

For years working in IT, Parallels has provided that bridge between MacOS and Windows that would otherwise involve portable storage (e.g. USB sticks), which is far from secure.

Running Parallels fixes that, meaning you can plug in an NTFS volume (external HD, USB stick etc) and write to it directly from MacOS (via a virtual 'shared' drive between OS'es), rather than being limited to Read-Only. This is a massive efficiency gain.

Parallels has meant I can continue to work in MacOS for the past 12+ years, despite being in Windows Enterprise environments. The added benefits of 'Snapshotting' my Windows installs also means I can use Parallels in a software testing environment, which runs the risk of corrupting a Windows install. Rolling back a snapshot in Parallels returns my 'guest' operating system back to a working state in a matter of minutes.

Nowadays I'm spending more time in photography, and I can use some specialist apps that are Windows only (such as Deep Sky Stacker for astrophotography) without having to transfer hundreds of images between a Mac and a PC.

Parallels has gone from strength to strength and is an integral part of my digital life.",4
A great product at a reasonable price.  I love it and use it often.,1
"I love using Parallels Desktop, especially since I'm new to using an Apple laptop, and some of the apps I like to use are only on Windows. I only needed some help with getting Windows setup as Parallels was pretty easy to follow. I also installed their Toolbox app. It has quite a few tools that I use daily (Capture Area is my favorite, Clipboard history is also nice, and Record Screen lets me save some of my favorite video clips from online). The only thing I wish Parallels included was a copy of Windows, which I didn't know I needed a license for (Easy enough to download from Parallels Desktop on setup), but my husband is an IT guy and took care of it for me. Definitely recommend Parallels for anyone using an Apple laptop, which a saying a lot since computer and me don't mix, but I'm slowly changing my mind.",4
"Excellent 
for many years I have used with pleasure",0
"Always works well for me. Has for years. Don't use the Tools much, but it is great to have a good PC emulator on my Mac.",6
Great application to allow me to acces & run my Windows apps from my Macbook Pro one by one,4
Works well majority of the time. Occasional issues with mouse cursor not tracking and needing a program restart. But overall very satisfied.,4
"I am happy with the way parallels is performing on my mac
Thank you.",0
"Excellent, useful and essential. I am very glad that I connect it up with parallels. I look forward to exploring more

Michael",0
Works flawlessly on my MacBook Pro,0
The new parallels seems faster and more reliable.,5
thank you for the great support !,0
Parallels works great and customer support is excellent. I highly recommend Parallels.,6
"The installation of the Parallels program was straight forward.  I needed a VM environment on my new iMac using Catalina OS to house an old '2007 Quicken for Mac' program in an El Capitan OS.  I did not want to abandon 16 years of data to try to fit into (or misfit) the latest Quicken App.  I found that on the whole, it is doing what I need to continue to add data to the App.  I'm living with some peculiar issues such as that I no longer be able to use Quicken's native backup.  Every time I do, I lose recently entered data.  I conclude after working with Quicken experts that it might be a Quicken problem that they no longer support.  So I just rely on Disk backup on the Mac.  Hoping that is adequate.  Then there is the issue of shutting down Parallels.  I found that if I shut down the VM, I will lose data in Quicken as well.  So I must do no more than  minimize or suspend Parallels, when I turn off the computer.  It give me pause when recently Parallels offers an update.  Should I shut down the VM and risk losing data for the update?  I'm learning to live with the corkiness of the situation.  By the way, their tech support is great, very responsive and knowledgable.",4
I use Parallels to run multiple operating systems for personal testing and review.,6
"Been using Parallels for years! It’s solid and reliable,",0
Love the program. Had very quirky problems that turned out to be a defective SSD and not Parallels. Support tired to help several times.,4
My brief interaction with the customer service department has been outstanding,0
"Samuel Kelly, not Samuel Kelly Kelly. I like Parallels 15.",0
Very helpful software package that allows me to test MS-Windows packages and Linux on my Mac.  Highly recommended.,4
"The only thing I was disappointed in was that I followed the Parallels recommendation to upgrade to Windows 10 and the performance is so very disappointing and frustrating. I had Windows 7 and so I needed to, but I hope that Parallels can get faster on Windows 10. I have a relatively new and fast computer - an iMac (Retina 5K, 27-inch, 2017), 4.2 GHz Intel Core i7, 40 GB 2400 MHz DDR4 of RAM - this should not be acceptable. I hope future upgrades to Parallels improves this. Thanks for asking.",5
I use Parallels Desktop for many years to analyze research data that is inaccessible from my Mac.  Being able to use Windows and Mac applications together saved my work.,4
"Parallels just works. It implements a platform that more closely complies with the ideal PC than many hardware PCs. As a result, Windows applications running on Parallels are usually more reliable than they would be when running on a PC whose manufacturer has their own idea of what the platform should be.",4
"The software works better than expected and was easy to set up. Awesome, haven't had a single problem.",6
Parallels has changed my life!  My productivity level has increased now that I have easy convenient access to windows programs on my Mac.,4
"I have used Parallels for many years, I have not had issues with the interface, upgrading the MacOs has not been a problem with maintaining my Microsoft license.
Works well, no issues with any programs to date.",4
"Hello! - You can work simultaneously in OSi and Windows using Parallels software.  Instead of using Windows for MAC in which you would need to boot the MAC computer for each operating system, you can install Parallels software and then install Windows for PC in Parallels along with your other windows software.",4
"Great product, fast and easy to use",6
They give a great service. Thank you so much for,0
Simply the best built for mac.,0
"Parallels is a great way to gradually migrate from one computer to another. I've used it to ensure everything on my old XP machine was captured on my Mac. And now with potential loss of older video formats when updating to Catalina, I have a virtual Mojave machine to fall back on if I find a non-converted file.",6
Works well with macOS Catalina.,6
Great well organized website. Very easy to navigate.,0
Great product. Easy to use.,6
Works well. No trouble yet.,0
Excellent program,0
This Product is brillant,0
"Technically speaking I found the install simple and without an issue.

Seeing you make a new version every time Apple updates OS I wish you could give us retired seniors a lower reduced update price!",6
"On MacBook Pro 16 
Age of empire work like a charm",4
"I really like the way Parallels now lets me quickly and smoothly go back and forth between Windows and Mac OS applications, including copying and pasting!",4
Very easy to use,6
Very efficient and easy to use.,6
Easy to use and it just works.  I've had up to 7 different operating systems installed at one time and Parallels has always performed wonderfully.,6
Excellent service and product,0
"Super easy to install and use. I use it for MS Excel and Access. I’ve been wanting to switch to a Mac for quite a while and finally got one about a month ago. The issue was with MS Access which does not work on MacOS, I have years worth of data and migrating to a new database would have been a real pain. So still stuck with my trusty old Dell just for Access. 

A friend of mine recommended Parallels. I downloaded and installed a trial. The instructions were easy to follow and within an hour or so I was up and running with Windows and Access on my Mac. It is a little expensive but its  worth not having to lug around 2 laptops!",4
I've reviewed Parallels before and nothing has changed. I rely on it to run Windows and legacy software on my Macbook Pro.,6
Knowledgeable and polite.  Thanks for the support.,0
Like being able to message via Facebook; quick and helpful replies!,4
Parallels does exactly what I want.,0
"Smooth interaction between both operating systems if you must use some windows only programs. 
Watchtower Library only in Windows format so a must for me. Works Great. 
Thank You",4
Just your usual excellence.,0
Works flawlessly.,0
It simply works.,0
"everything works as advertised, the setup and the user experience is easy and flawless. I'm not a big MS user but when I need to use MS and especially the DVD it works great.",4
"I've had an exceptionally good experience using Parallels on my Mac. Granted, I don't really use any of the complicated stuff but I have to run a specific Windows program (TOAD) to do my database work and I've had no issues at all using the Windows 10 PVM.",4
"Parallels is great!
I have Windows 10, Ubuntu and Mac OS X 10.6 (Snow Leopard with PPC emulation through Rosetta) all running on one machine. 
It's like magic!",6
The software is reliable.,0
Great product.  Works as needed.,0
No issues running Mojave and Windows 10 under Catalina. Operation is smooth and runs with good speed.,5
Fast and easy to use.  Does everything I wanted it to do.,6
works Seamlessly for what I need,0
"Use this application for about 6 years already. It never let me down. The only problem is, it may become sluggish at times, but I suppose it is because of the size of the files I use. Guess, I would have the same issue on a Surface.",5
Unable to get through to customer support to renew my subscription. Updated my payment details but Paypal not working on their website. The website doesn't work properly and keeps redirecting me to the same 'help' article that doesn't help.,1
"Followed the student discount offer on their site and was asked to upload a document with proof of Institute Student Number Photo and Name. Sent this and received an e-mail saying they needed to confirm my 'status'. I did not understand what they meant by this. I further sent screen grabs of me signed into my College and also an e-mail from my Tutor form that week about that week's lesson.
They then sent an e-mail saying I was not eligible as had exceeded upload limit. 
Why bother with a student discount if you do not want to honour it for half of these people. 
Total joke",1
"It is a terrible product. I worked with v10 and later purchased v12 by hoping it would work better. But none works properly on both my old and new macs. Briefly:

- Not proper network connection
- Terrible resolution settings. 
- Slow and sluggish performance",4
"GREAT COMPANY 
GREAT SERVICE
GREAT SUPPORTING TEAM....
GREAT B2B IT PRODUCTS
100% GREAT SERVICE.........

THANKS YOUR GREAT SERVICE.....
GREAT REMOTE APPLICATION SERVER...",4
